name,data/gplus.edges
n,12417
d,5948

c,time (milliseconds),space (bytes),succeed
2,34185378,10154160,true
3,7963723,9195984,true
4,3834549,6953636,true
5,2436130,5482980,true
6,2740410,6929616,true
7,1690742,4786096,true
8,2373516,6881976,true
9,1510391,4731720,true
10,2132635,6802600,true
11,2045731,6774912,true
12,1989899,6777428,true
13,1942767,6686124,true
14,1992637,6712988,true
15,1907940,6711968,true
16,1820461,6652532,true
17,1768743,6592032,true
18,1758171,6654452,true
19,1713586,6566196,true
20,1714714,6569548,true
